X,Y,vX,vY,aX,aY,dt,rX,rY,lX,lY
-9.39064,49.478,-6.53114,-0.427935,4.26046,-1.83531,0.47347,-9.7233,51.353,-9.06654,47.6513
-12.4829,49.2754,-5.21627,1.88388,5.23944,-0.902394,0.527015,-12.2832,50.9141,-12.6864,47.6061
-15.232,50.2682,-4.53018,4.49578,4.62378,2.67641,0.483935,-14.1766,51.6242,-16.3145,48.8774
-17.4243,52.4439,-5.71292,5.29673,-0.489147,3.18571,0.402446,-16.0968,53.6377,-18.7212,51.2776
-19.7234,54.5755,-6.29704,4.9344,-1.65077,0.604298,0.379592,-18.5487,55.9482,-20.8973,53.2039
-22.1137,56.4486,-6.98177,3.90587,-3.24206,0.251109,0.380369,-21.1863,57.9746,-23.0399,54.9247
-24.7694,57.9343,-7.61404,2.45504,-4.0555,0.403114,0.396281,-24.0709,59.5574,-25.4691,56.3083
-27.7867,58.9072,-7.69818,0.453933,-5.0756,-0.0856731,0.392825,-27.3601,60.6182,-28.2094,57.2117
-30.8107,59.0855,-6.66824,-0.844098,-3.31082,-2.0064,0.463215,-30.8615,60.6947,-30.7592,57.4521
-33.8996,58.6945,-4.50037,-2.50473,-4.8329,-2.09624,0.573554,-34.3795,60.3105,-33.4221,57.0868
-36.4808,57.2579,-2.83557,-5.02327,-4.8182,2.4646,0.542136,-37.7815,58.5045,-35.2235,56.0529
-38.018,54.5346,-2.18285,-7.30886,-2.7218,4.26135,0.398041,-39.6683,55.2714,-36.3314,53.7815
-38.8869,51.6253,-1.74612,-7.80718,-1.38539,1.01252,0.374253,-40.6223,52.1196,-37.1519,51.1312
-39.5404,48.7035,-0.31961,-7.99366,-3.75085,0.338592,0.389747,-41.2918,48.911,-37.7918,48.4963
-39.665,45.588,1.24748,-7.67502,-4.14323,-0.163599,0.38159,-41.2708,45.5359,-38.0116,45.6416
-39.1889,42.6593,3.23869,-7.06916,-5.23032,0.706346,0.407125,-40.9185,42.2175,-37.5574,43.076
-37.8704,39.7812,5.05378,-6.2016,-4.94625,1.19944,0.383417,-39.2378,38.7261,-36.4779,40.8557
-35.9327,37.4034,5.67883,-5.63485,-2.199,0.116125,0.382902,-37.2064,36.1771,-34.6531,38.6354
-33.7582,35.2458,4.73709,-6.03752,2.45083,-0.655189,0.42456,-35.1076,33.952,-32.444,36.506
-31.7471,32.6826,2.76806,-6.8989,5.25993,0.162118,0.392247,-33.1581,31.8251,-30.2944,33.5653
-30.6613,29.9765,0.883699,-7.70895,5.00691,1.50429,0.392411,-32.3571,29.5993,-28.9289,30.3618
-30.3145,26.9514,-0.903508,-7.94886,4.52615,1.13942,0.380288,-31.9673,27.053,-28.6959,26.8519
-30.6581,23.9285,-1.18365,-7.91201,0.728433,0.0129161,0.395374,-32.3996,24.3061,-28.9162,23.5509
-31.1261,20.8003,-1.76129,-7.80377,1.45587,0.0535078,0.411424,-32.8276,21.2374,-29.4235,20.363
-31.8507,17.5897,-2.48241,-7.60516,2.0141,0.0942173,0.330499,-33.4542,18.1736,-30.246,17.0053
-32.6712,15.0762,-3.40777,-7.23792,2.78169,0.173361,0.383918,-34.17,15.9138,-31.1307,14.2153
-33.9795,12.2974,-1.47571,-7.86274,-5.18779,0.663759,0.392583,-35.6576,12.951,-32.3878,11.6775
-34.5588,9.21063,0.218419,-7.99707,-4.39335,0.469353,0.376686,-36.2515,9.30824,-32.8259,9.11071
-34.4765,6.19825,2.07309,-7.72677,-4.80518,0.566758,0.398047,-36.1295,5.91584,-32.8269,6.4801
-33.6513,3.12264,2.28781,-6.5802,-1.38628,-2.42265,0.437779,-35.3042,2.64013,-31.9885,3.60807
-32.6498,0.241965,2.78306,-3.88665,-3.73671,-3.60557,0.617069,-34.3375,-0.333562,-30.9467,0.822737
-30.9324,-2.15637,4.83709,-1.34519,-5.01683,2.17141,0.578458,-32.0429,-3.51559,-29.8638,-0.848313
-28.1344,-2.9345,7.19451,-0.422712,-2.13404,4.63265,0.414175,-28.3333,-4.62576,-27.9319,-1.2127
-25.1546,-3.10958,7.95078,-0.886549,0.934776,1.99016,0.392805,-25.2699,-4.80883,-25.039,-1.40572
-22.0315,-3.45782,7.96801,0.715354,-3.96013,0.398526,0.412191,-22.0874,-5.15021,-21.9757,-1.76848
-18.7472,-3.16296,7.95013,0.892405,-0.45498,0.00505685,0.37,-18.6784,-4.79698,-18.8159,-1.52916
-15.8056,-2.83277,7.93173,1.04336,-0.397209,0.00377586,0.395688,-15.6952,-4.59222,-15.916,-1.07361
-12.6671,-2.41992,7.91437,1.16776,-0.32,0.00251273,0.389322,-12.4432,-4.09754,-12.891,-0.742536
-9.58588,-1.96528,7.9291,1.06317,0.27386,0.00180814,0.382049,-9.32973,-3.68921,-9.84206,-0.241135
-6.55658,-1.5591,7.92144,1.11883,-0.142809,0.000506703,0.40484,-6.17618,-3.30247,-6.93695,0.184164
-3.34966,-1.10615,7.85957,1.49272,-0.919784,0.0217966,0.418969,-3.14262,-2.89273,-3.55661,0.679597
